id,log_change,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012
287,-0.15860503,0,,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0
288,-0.37729423,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
289,0.78194268,0,,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0
290,0.12007925,0,,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0
291,0.52387334,0,,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0
292,0.57282768,0,,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0
293,0.57282768,0,,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0
294,0.0004763,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
295,0.16626616,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
296,0.2595112,0,,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0
297,0.19159377,0,,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0
298,-0.2186892,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0
299,0.02922964,0,,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0
300,0.51082562,0,,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0
301,-0.41729957,0,,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0
302,0.08338161,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0
303,0.08647359,0,,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0
304,-0.04950064,0,,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0
